timestamp,symbol,price,sp500,cac40,nikkei
2021-01-07,AMZN,158.10800170898438,3803.7900390625,5669.85009765625,27490.130859375
2021-01-08,AMZN,159.13499450683594,3824.679931640625,5706.8798828125,28139.029296875
2021-01-11,AMZN,155.7104949951172,3799.610107421875,5662.43017578125,nan
2021-01-12,AMZN,156.04150390625,3801.18994140625,5650.97021484375,28164.33984375
2021-01-13,AMZN,158.29449462890625,3809.840087890625,5662.669921875,28456.58984375
2021-01-14,AMZN,156.37350463867188,3795.5400390625,5681.14013671875,28698.259765625
2021-01-15,AMZN,155.21249389648438,3768.25,5611.68994140625,28519.1796875
2021-01-18,AMZN,nan,nan,5617.27001953125,28242.2109375
2021-01-19,AMZN,156.03799438476562,3798.909912109375,5598.60986328125,28633.4609375
2021-01-20,AMZN,163.16900634765625,3851.85009765625,5628.43994140625,28523.259765625
2021-01-21,AMZN,165.34950256347656,3853.070068359375,5590.7900390625,28756.859375
2021-01-22,AMZN,164.6114959716797,3841.469970703125,5559.56982421875,28631.44921875
2021-01-25,AMZN,164.6999969482422,3855.360107421875,5472.35986328125,28822.2890625
2021-01-26,AMZN,166.30650329589844,3849.6201171875,5523.52001953125,28546.1796875
2021-01-27,AMZN,161.62899780273438,3750.77001953125,5459.6201171875,28635.2109375
2021-01-28,AMZN,161.88099670410156,3787.3798828125,5510.52001953125,28197.419921875
2021-01-29,AMZN,160.30999755859375,3714.239990234375,5399.2099609375,27663.390625
2021-02-01,AMZN,167.1439971923828,3773.860107421875,5461.68017578125,28091.05078125
2021-02-02,AMZN,169.0,3826.31005859375,5563.10986328125,28362.169921875
2021-02-03,AMZN,165.62649536132812,3830.169921875,5563.0498046875,28646.5
2021-02-04,AMZN,166.5500030517578,3871.739990234375,5608.5400390625,28341.94921875
2021-02-05,AMZN,167.6074981689453,3886.830078125,5659.259765625,28779.189453125
2021-02-08,AMZN,166.14700317382812,3915.590087890625,5686.02978515625,29388.5
2021-02-09,AMZN,165.25,3911.22998046875,5691.5400390625,29505.9296875
2021-02-10,AMZN,164.32899475097656,3909.8798828125,5670.7998046875,29562.9296875
2021-02-11,AMZN,163.10650634765625,3916.3798828125,5669.81982421875,nan
2021-02-12,AMZN,163.885498046875,3934.830078125,5703.669921875,29520.0703125
2021-02-15,AMZN,nan,nan,5786.25,30084.150390625
2021-02-16,AMZN,163.44749450683594,3932.590087890625,5786.52978515625,30467.75
2021-02-17,AMZN,165.4320068359375,3931.330078125,5765.83984375,30292.189453125
2021-02-18,AMZN,166.4114990234375,3913.969970703125,5728.330078125,30236.08984375
2021-02-19,AMZN,162.4949951171875,3906.7099609375,5773.5498046875,30017.919921875
2021-02-22,AMZN,159.03700256347656,3876.5,5767.43994140625,30156.029296875
2021-02-23,AMZN,159.72500610351562,3881.3701171875,5779.83984375,nan
2021-02-24,AMZN,157.97650146484375,3925.429931640625,5797.97998046875,29671.69921875
2021-02-25,AMZN,152.85800170898438,3829.340087890625,5783.89013671875,30168.26953125
2021-02-26,AMZN,154.64649963378906,3811.14990234375,5703.22021484375,28966.009765625
2021-03-01,AMZN,157.3070068359375,3901.820068359375,5792.7900390625,29663.5
2021-03-02,AMZN,154.72650146484375,3870.2900390625,5809.72998046875,29408.169921875
2021-03-03,AMZN,150.25,3819.719970703125,5830.06005859375,29559.099609375
2021-03-04,AMZN,148.8784942626953,3768.469970703125,5830.64990234375,28930.109375
2021-03-05,AMZN,150.0229949951172,3841.93994140625,5782.64990234375,28864.3203125
2021-03-08,AMZN,147.59750366210938,3821.35009765625,5902.990234375,28743.25
2021-03-09,AMZN,153.1425018310547,3875.43994140625,5924.97021484375,29027.939453125
2021-03-10,AMZN,152.8820037841797,3898.81005859375,5990.5498046875,29036.560546875
2021-03-11,AMZN,155.67950439453125,3939.340087890625,6033.759765625,29211.640625
2021-03-12,AMZN,154.47450256347656,3943.340087890625,6046.5498046875,29717.830078125
2021-03-15,AMZN,154.08399963378906,3968.93994140625,6035.97021484375,29766.970703125
2021-03-16,AMZN,154.59300231933594,3962.7099609375,6055.43017578125,29921.08984375
2021-03-17,AMZN,156.7864990234375,3974.1201171875,6054.81982421875,29914.330078125
2021-03-18,AMZN,151.39950561523438,3915.4599609375,6062.7900390625,30216.75
2021-03-19,AMZN,153.7480010986328,3913.10009765625,5997.9599609375,29792.05078125
2021-03-22,AMZN,155.5435028076172,3940.590087890625,5968.47998046875,29174.150390625
2021-03-23,AMZN,156.875,3910.52001953125,5945.2998046875,28995.919921875
2021-03-24,AMZN,154.35350036621094,3889.139892578125,5947.2900390625,28405.51953125
2021-03-25,AMZN,152.31300354003906,3909.52001953125,5952.41015625,28729.880859375
2021-03-26,AMZN,152.60150146484375,3974.5400390625,5988.81005859375,29176.69921875
2021-03-29,AMZN,153.7864990234375,3971.090087890625,6015.509765625,29384.51953125
2021-03-30,AMZN,152.76449584960938,3958.550048828125,6088.0400390625,29432.69921875
2021-03-31,AMZN,154.70399475097656,3972.889892578125,6067.22998046875,29178.80078125
2021-04-01,AMZN,158.0500030517578,4019.8701171875,6102.9599609375,29388.869140625
2021-04-02,AMZN,nan,nan,nan,29854.0
2021-04-05,AMZN,161.3365020751953,4077.909912109375,nan,30089.25
2021-04-06,AMZN,161.1909942626953,4073.93994140625,6131.33984375,29696.630859375
2021-04-07,AMZN,163.96949768066406,4079.949951171875,6130.66015625,29730.7890625
2021-04-08,AMZN,164.96499633789062,4097.169921875,6165.72021484375,29708.98046875
2021-04-09,AMZN,168.61000061035156,4128.7998046875,6169.41015625,29768.060546875
