timestamp,symbol,price,sp500,cac40,nikkei
2021-01-07,META,268.739990234375,3803.7900390625,5669.85009765625,27490.130859375
2021-01-08,META,267.57000732421875,3824.679931640625,5706.8798828125,28139.029296875
2021-01-11,META,256.8399963378906,3799.610107421875,5662.43017578125,nan
2021-01-12,META,251.08999633789062,3801.18994140625,5650.97021484375,28164.33984375
2021-01-13,META,251.63999938964844,3809.840087890625,5662.669921875,28456.58984375
2021-01-14,META,245.63999938964844,3795.5400390625,5681.14013671875,28698.259765625
2021-01-15,META,251.36000061035156,3768.25,5611.68994140625,28519.1796875
2021-01-18,META,nan,nan,5617.27001953125,28242.2109375
2021-01-19,META,261.1000061035156,3798.909912109375,5598.60986328125,28633.4609375
2021-01-20,META,267.4800109863281,3851.85009765625,5628.43994140625,28523.259765625
2021-01-21,META,272.8699951171875,3853.070068359375,5590.7900390625,28756.859375
2021-01-22,META,274.5,3841.469970703125,5559.56982421875,28631.44921875
2021-01-25,META,278.010009765625,3855.360107421875,5472.35986328125,28822.2890625
2021-01-26,META,282.04998779296875,3849.6201171875,5523.52001953125,28546.1796875
2021-01-27,META,272.1400146484375,3750.77001953125,5459.6201171875,28635.2109375
2021-01-28,META,265.0,3787.3798828125,5510.52001953125,28197.419921875
2021-01-29,META,258.3299865722656,3714.239990234375,5399.2099609375,27663.390625
2021-02-01,META,262.010009765625,3773.860107421875,5461.68017578125,28091.05078125
2021-02-02,META,267.0799865722656,3826.31005859375,5563.10986328125,28362.169921875
2021-02-03,META,266.6499938964844,3830.169921875,5563.0498046875,28646.5
2021-02-04,META,266.489990234375,3871.739990234375,5608.5400390625,28341.94921875
2021-02-05,META,268.1000061035156,3886.830078125,5659.259765625,28779.189453125
2021-02-08,META,266.5799865722656,3915.590087890625,5686.02978515625,29388.5
2021-02-09,META,269.45001220703125,3911.22998046875,5691.5400390625,29505.9296875
2021-02-10,META,271.8699951171875,3909.8798828125,5670.7998046875,29562.9296875
2021-02-11,META,270.3900146484375,3916.3798828125,5669.81982421875,nan
2021-02-12,META,270.5,3934.830078125,5703.669921875,29520.0703125
2021-02-15,META,nan,nan,5786.25,30084.150390625
2021-02-16,META,273.9700012207031,3932.590087890625,5786.52978515625,30467.75
2021-02-17,META,273.57000732421875,3931.330078125,5765.83984375,30292.189453125
2021-02-18,META,269.3900146484375,3913.969970703125,5728.330078125,30236.08984375
2021-02-19,META,261.55999755859375,3906.7099609375,5773.5498046875,30017.919921875
2021-02-22,META,260.3299865722656,3876.5,5767.43994140625,30156.029296875
2021-02-23,META,265.8599853515625,3881.3701171875,5779.83984375,nan
2021-02-24,META,264.30999755859375,3925.429931640625,5797.97998046875,29671.69921875
2021-02-25,META,254.69000244140625,3829.340087890625,5783.89013671875,30168.26953125
2021-02-26,META,257.6199951171875,3811.14990234375,5703.22021484375,28966.009765625
2021-03-01,META,264.9100036621094,3901.820068359375,5792.7900390625,29663.5
2021-03-02,META,259.0,3870.2900390625,5809.72998046875,29408.169921875
2021-03-03,META,255.41000366210938,3819.719970703125,5830.06005859375,29559.099609375
2021-03-04,META,257.6400146484375,3768.469970703125,5830.64990234375,28930.109375
2021-03-05,META,264.2799987792969,3841.93994140625,5782.64990234375,28864.3203125
2021-03-08,META,255.30999755859375,3821.35009765625,5902.990234375,28743.25
2021-03-09,META,265.739990234375,3875.43994140625,5924.97021484375,29027.939453125
2021-03-10,META,264.8999938964844,3898.81005859375,5990.5498046875,29036.560546875
2021-03-11,META,273.8800048828125,3939.340087890625,6033.759765625,29211.640625
2021-03-12,META,268.3999938964844,3943.340087890625,6046.5498046875,29717.830078125
2021-03-15,META,273.75,3968.93994140625,6035.97021484375,29766.970703125
2021-03-16,META,279.2799987792969,3962.7099609375,6055.43017578125,29921.08984375
2021-03-17,META,284.010009765625,3974.1201171875,6054.81982421875,29914.330078125
2021-03-18,META,278.6199951171875,3915.4599609375,6062.7900390625,30216.75
2021-03-19,META,290.1099853515625,3913.10009765625,5997.9599609375,29792.05078125
2021-03-22,META,293.5400085449219,3940.590087890625,5968.47998046875,29174.150390625
2021-03-23,META,290.6300048828125,3910.52001953125,5945.2998046875,28995.919921875
2021-03-24,META,282.1400146484375,3889.139892578125,5947.2900390625,28405.51953125
2021-03-25,META,278.739990234375,3909.52001953125,5952.41015625,28729.880859375
2021-03-26,META,283.0199890136719,3974.5400390625,5988.81005859375,29176.69921875
2021-03-29,META,290.82000732421875,3971.090087890625,6015.509765625,29384.51953125
2021-03-30,META,288.0,3958.550048828125,6088.0400390625,29432.69921875
2021-03-31,META,294.5299987792969,3972.889892578125,6067.22998046875,29178.80078125
2021-04-01,META,298.6600036621094,4019.8701171875,6102.9599609375,29388.869140625
2021-04-02,META,nan,nan,nan,29854.0
2021-04-05,META,308.9100036621094,4077.909912109375,nan,30089.25
2021-04-06,META,306.260009765625,4073.93994140625,6131.33984375,29696.630859375
2021-04-07,META,313.0899963378906,4079.949951171875,6130.66015625,29730.7890625
2021-04-08,META,313.0199890136719,4097.169921875,6165.72021484375,29708.98046875
2021-04-09,META,312.4599914550781,4128.7998046875,6169.41015625,29768.060546875
2021-04-12,META,311.5400085449219,4127.990234375,6161.68017578125,29538.73046875
2021-04-13,META,309.760009765625,4141.58984375,6184.10009765625,29751.609375
2021-04-14,META,302.82000732421875,4124.66015625,6208.580078125,29620.990234375
2021-04-15,META,307.82000732421875,4170.419921875,6234.14013671875,29642.689453125
2021-04-16,META,306.17999267578125,4185.47021484375,6287.06982421875,29683.369140625
